"fecha","distrito","poblacion"
2014-10-01,"SAN BLAS-CANILLEJAS","153.233"
2014-10-01,"TETUÁN","151.815"
2014-10-01,"USERA","133.426"
2014-10-01,"VICÁLVARO"," 69.641"
2014-10-01,"VILLA DE VALLECAS"," 99.674"
2014-10-01,"VILLAVERDE","141.784"
2014-11-01,"ARGANZUELA","151.249"
2014-11-01,"BARAJAS"," 45.952"
2014-11-01,"CARABANCHEL","242.042"
2014-11-01,"CENTRO","132.899"
2014-11-01,"CHAMARTÍN","142.236"
2014-11-01,"CHAMBERÍ","138.564"
2014-11-01,"CIUDAD LINEAL","213.345"
2014-11-01,"FUENCARRAL - EL PARDO","234.148"
2014-11-01,"HORTALEZA","175.241"
2014-11-01,"LATINA","235.935"
2014-11-01,"MONCLOA - ARAVACA","116.836"
2014-11-01,"MORATALAZ"," 95.347"
2014-11-01,"PUENTE DE VALLECAS","227.841"
2014-11-01,"RETIRO","118.665"
2014-11-01,"SALAMANCA","143.768"
2014-11-01,"SAN BLAS-CANILLEJAS","153.394"
2014-11-01,"TETUÁN","152.236"
2014-11-01,"USERA","133.626"
2014-11-01,"VICÁLVARO"," 69.694"
2014-11-01,"VILLA DE VALLECAS"," 99.913"
2014-11-01,"VILLAVERDE","141.771"
2014-12-01,"ARGANZUELA","150.467"
2014-12-01,"BARAJAS"," 45.812"
2014-12-01,"CARABANCHEL","240.853"
2014-12-01,"CENTRO","131.568"
2014-12-01,"CHAMARTÍN","141.738"
2014-12-01,"CHAMBERÍ","137.767"
2014-12-01,"CIUDAD LINEAL","212.264"
2014-12-01,"FUENCARRAL - EL PARDO","233.341"
2014-12-01,"HORTALEZA","174.640"
2014-12-01,"LATINA","234.839"
2014-12-01,"MONCLOA - ARAVACA","116.280"
2014-12-01,"MORATALAZ"," 95.031"
2014-12-01,"PUENTE DE VALLECAS","226.744"
2014-12-01,"RETIRO","118.212"
2014-12-01,"SALAMANCA","142.843"
2014-12-01,"SAN BLAS-CANILLEJAS","152.780"
2014-12-01,"TETUÁN","151.313"
2014-12-01,"USERA","133.035"
2014-12-01,"VICÁLVARO"," 69.460"
2014-12-01,"VILLA DE VALLECAS"," 99.702"
2014-12-01,"VILLAVERDE","140.974"
2015-01-01,"ARGANZUELA","150.884"
2015-01-01,"BARAJAS"," 45.870"
2015-01-01,"CARABANCHEL","241.319"
2015-01-01,"CENTRO","131.990"
2015-01-01,"CHAMARTÍN","142.039"
2015-01-01,"CHAMBERÍ","137.985"
2015-01-01,"CIUDAD LINEAL","212.492"
2015-01-01,"FUENCARRAL - EL PARDO","233.978"
2015-01-01,"HORTALEZA","175.293"
2015-01-01,"LATINA","235.093"
2015-01-01,"MONCLOA - ARAVACA","116.492"
2015-01-01,"MORATALAZ"," 95.089"
2015-01-01,"PUENTE DE VALLECAS","227.263"
2015-01-01,"RETIRO","118.500"
2015-01-01,"SALAMANCA","143.152"
2015-01-01,"SAN BLAS-CANILLEJAS","153.131"
2015-01-01,"TETUÁN","151.641"
2015-01-01,"USERA","133.429"
2015-01-01,"VICÁLVARO"," 69.614"
2015-01-01,"VILLA DE VALLECAS","100.039"
2015-01-01,"VILLAVERDE","141.279"
2015-02-01,"ARGANZUELA","150.726"
2015-02-01,"BARAJAS"," 45.950"
2015-02-01,"CARABANCHEL","241.175"
2015-02-01,"CENTRO","131.525"
2015-02-01,"CHAMARTÍN","142.132"
2015-02-01,"CHAMBERÍ","137.716"
2015-02-01,"CIUDAD LINEAL","212.199"
2015-02-01,"FUENCARRAL - EL PARDO","233.907"
2015-02-01,"HORTALEZA","175.553"
2015-02-01,"LATINA","234.844"
2015-02-01,"MONCLOA - ARAVACA","116.397"
2015-02-01,"MORATALAZ"," 94.945"
2015-02-01,"PUENTE DE VALLECAS","226.920"
2015-02-01,"RETIRO","118.404"
2015-02-01,"SALAMANCA","142.863"
2015-02-01,"SAN BLAS-CANILLEJAS","153.056"
2015-02-01,"TETUÁN","151.681"
2015-02-01,"USERA","133.370"
2015-02-01,"VICÁLVARO"," 69.586"
2015-02-01,"VILLA DE VALLECAS","100.251"
2015-02-01,"VILLAVERDE","141.310"
2015-03-01,"ARGANZUELA","150.814"
2015-03-01,"BARAJAS"," 46.164"
2015-03-01,"CARABANCHEL","241.704"
2015-03-01,"CENTRO","131.995"
2015-03-01,"CHAMARTÍN","142.369"
2015-03-01,"CHAMBERÍ","137.762"
2015-03-01,"CIUDAD LINEAL","212.468"
2015-03-01,"FUENCARRAL - EL PARDO","234.509"
2015-03-01,"HORTALEZA","176.062"
2015-03-01,"LATINA","235.147"
2015-03-01,"MONCLOA - ARAVACA","116.652"
2015-03-01,"MORATALAZ"," 94.987"
2015-03-01,"PUENTE DE VALLECAS","227.262"
2015-03-01,"RETIRO","118.598"
2015-03-01,"SALAMANCA","143.096"
2015-03-01,"SAN BLAS-CANILLEJAS","153.233"
2015-03-01,"TETUÁN","152.015"
2015-03-01,"USERA","133.485"
2015-03-01,"VICÁLVARO"," 69.803"
2015-03-01,"VILLA DE VALLECAS","100.716"
2015-03-01,"VILLAVERDE","141.304"
2015-04-01,"ARGANZUELA","150.706"
2015-04-01,"BARAJAS"," 46.076"
2015-04-01,"CARABANCHEL","241.556"
2015-04-01,"CENTRO","131.508"
2015-04-01,"CHAMARTÍN","142.186"
2015-04-01,"CHAMBERÍ","137.282"
2015-04-01,"CIUDAD LINEAL","212.273"
2015-04-01,"FUENCARRAL - EL PARDO","234.502"
2015-04-01,"HORTALEZA","175.937"
2015-04-01,"LATINA","234.795"
2015-04-01,"MONCLOA - ARAVACA","116.467"
2015-04-01,"MORATALAZ"," 94.768"
2015-04-01,"PUENTE DE VALLECAS","226.869"
2015-04-01,"RETIRO","118.371"
2015-04-01,"SALAMANCA","142.804"
2015-04-01,"SAN BLAS-CANILLEJAS","153.065"
2015-04-01,"TETUÁN","151.750"
2015-04-01,"USERA","133.335"
2015-04-01,"VICÁLVARO"," 69.630"
2015-04-01,"VILLA DE VALLECAS","100.716"
2015-04-01,"VILLAVERDE","141.142"
2015-05-01,"ARGANZUELA","151.061"
2015-05-01,"BARAJAS"," 46.166"
