fecha,distrito,precio_m2,variacion_mensual,variacion_trimestral,variacion_anual
03-2010,Barajas,,,,
02-2010,Barajas,,,,
01-2010,Barajas,,,,
12-2009,Barajas,,,,
11-2009,Barajas,,,,
10-2009,Barajas,,,,
09-2009,Barajas,,,,
08-2009,Barajas,,,,
07-2009,Barajas,,,,
06-2009,Barajas,,,,
05-2009,Barajas,,,,
04-2009,Barajas,,,,
03-2009,Barajas,,,,
02-2009,Barajas,,,,
01-2009,Barajas,,,,
12-2008,Barajas,,,,
11-2008,Barajas,,,,
10-2008,Barajas,,,,
09-2008,Barajas,,,,
08-2008,Barajas,,,,
07-2008,Barajas,,,,
06-2008,Barajas,,,,
05-2008,Barajas,,,,
04-2008,Barajas,,,,
03-2008,Barajas,,,,
02-2008,Barajas,,,,
01-2008,Barajas,,,,
12-2007,Barajas,,,,
11-2007,Barajas,,,,
10-2007,Barajas,,,,
09-2007,Barajas,,,,
08-2007,Barajas,,,,
07-2007,Barajas,,,,
06-2007,Barajas,,,,
05-2007,Barajas,,,,
04-2007,Barajas,,,,
03-2007,Barajas,,,,
02-2007,Barajas,,,,
01-2007,Barajas,,,,
12-2006,Barajas,,,,
11-2006,Barajas,,,,
10-2006,Barajas,,,,
09-2006,Barajas,,,,
08-2006,Barajas,,,,
07-2006,Barajas,,,,
06-2006,Barajas,,,,
05-2006,Barajas,,,,
04-2006,Barajas,,,,
03-2006,Barajas,,,,
02-2006,Barajas,,,,
01-2006,Barajas,,,,
04-2024,Carabanchel,15,"2,6","5,9","12,6"
03-2024,Carabanchel,"14,6","1,8","3,5",13
02-2024,Carabanchel,"14,4","1,3","3,1","14,2"
01-2024,Carabanchel,"14,2","0,3","1,8","12,4"
12-2023,Carabanchel,"14,1","1,5","2,8",12
11-2023,Carabanchel,"13,9",0,"2,6","11,1"
10-2023,Carabanchel,"13,9","1,3","3,4","11,4"
09-2023,Carabanchel,"13,7","1,3",3,10
08-2023,Carabanchel,"13,6","0,8","2,2","10,3"
07-2023,Carabanchel,"13,5","0,8",1,"10,1"
06-2023,Carabanchel,"13,3","0,5","3,2","11,2"
05-2023,Carabanchel,"13,3","-0,3","5,7","11,4"
04-2023,Carabanchel,"13,3",3,"5,7","12,4"
03-2023,Carabanchel,"12,9","2,9","2,5","10,5"
02-2023,Carabanchel,"12,6","-0,3","0,3","8,1"
01-2023,Carabanchel,"12,6","-0,1","0,9",8
12-2022,Carabanchel,"12,6","0,7",1,"8,6"
11-2022,Carabanchel,"12,5","0,2","1,9","7,5"
10-2022,Carabanchel,"12,5",0,"2,2","8,2"
09-2022,Carabanchel,"12,5","1,6","4,1","9,2"
08-2022,Carabanchel,"12,3","0,6","3,1","8,2"
07-2022,Carabanchel,"12,2","1,8","3,1","7,9"
06-2022,Carabanchel,12,"0,7","2,6","5,1"
05-2022,Carabanchel,"11,9","0,6","2,6","4,1"
04-2022,Carabanchel,"11,9","1,3","1,6","3,8"
03-2022,Carabanchel,"11,7","0,7","0,8","2,7"
02-2022,Carabanchel,"11,6","-0,4","-0,3","2,4"
01-2022,Carabanchel,"11,7","0,5",1,"2,9"
12-2021,Carabanchel,"11,6","-0,3","1,5","0,6"
11-2021,Carabanchel,"11,7","0,9","2,5",0
10-2021,Carabanchel,"11,6",1,2,"-2,4"
09-2021,Carabanchel,"11,4","0,7","0,2","-5,3"
08-2021,Carabanchel,"11,4","0,4","-0,7","-6,6"
07-2021,Carabanchel,"11,3","-0,9","-0,8","-7,5"
06-2021,Carabanchel,"11,4","-0,2","0,2","-9,6"
05-2021,Carabanchel,"11,4","0,3","0,8","-8,7"
04-2021,Carabanchel,"11,4","0,1","0,7","-7,5"
03-2021,Carabanchel,"11,4","0,4","-1,3","-6,3"
02-2021,Carabanchel,"11,4","0,1","-2,5",-6
01-2021,Carabanchel,"11,3","-1,8","-4,2","-4,4"
12-2020,Carabanchel,"11,5","-0,9","-4,4","-1,7"
11-2020,Carabanchel,"11,7","-1,6","-4,2","-1,4"
10-2020,Carabanchel,"11,8",-2,"-3,3","0,1"
09-2020,Carabanchel,"12,1","-0,7","-4,4","0,7"
08-2020,Carabanchel,"12,2","-0,7",-3,"2,8"
07-2020,Carabanchel,"12,2","-3,1","-0,8","3,7"
06-2020,Carabanchel,"12,6","0,7","3,9","8,2"
05-2020,Carabanchel,"12,5","1,6","3,8","8,7"
04-2020,Carabanchel,"12,3","1,5","4,1",7
03-2020,Carabanchel,"12,2","0,7","3,5","5,5"
02-2020,Carabanchel,"12,1","1,9","2,3","5,8"
01-2020,Carabanchel,"11,9","0,9","0,3","4,7"
12-2019,Carabanchel,"11,8","-0,5","-2,1","2,3"
11-2019,Carabanchel,"11,8","-0,1","-0,2","3,1"
10-2019,Carabanchel,"11,8","-1,4","0,2","6,5"
09-2019,Carabanchel,12,"1,4","2,8","10,5"
08-2019,Carabanchel,"11,8","0,2","2,5","8,9"
07-2019,Carabanchel,"11,8","1,1","2,3","7,4"
06-2019,Carabanchel,"11,7","1,2","1,3","6,3"
05-2019,Carabanchel,"11,5",0,1,"5,5"
04-2019,Carabanchel,"11,5","0,1","1,8","4,7"
03-2019,Carabanchel,"11,5","0,9","0,3","6,4"
02-2019,Carabanchel,"11,4","0,8","-0,2","5,6"
01-2019,Carabanchel,"11,3","-1,4",2,"5,1"
12-2018,Carabanchel,"11,5","0,3","5,8","8,8"
11-2018,Carabanchel,"11,5","3,1","5,4","10,7"
10-2018,Carabanchel,"11,1","2,2",1,"9,4"
09-2018,Carabanchel,"10,9",0,"-1,1","8,6"
08-2018,Carabanchel,"10,9","-1,2","-0,7","8,8"
07-2018,Carabanchel,11,"0,1","-0,2","10,2"
06-2018,Carabanchel,11,"0,4","1,5","12,4"
05-2018,Carabanchel,"10,9","-0,7","1,2",11
04-2018,Carabanchel,11,"1,8","2,2","11,8"
03-2018,Carabanchel,"10,8","0,1","2,5","10,8"
02-2018,Carabanchel,"10,8","0,4","4,6","10,8"
01-2018,Carabanchel,"10,8","2,1","6,2","10,9"
12-2017,Carabanchel,"10,6","2,1","5,6","11,6"
11-2017,Carabanchel,"10,3","1,9","3,6","10,9"
10-2017,Carabanchel,"10,1","1,5","1,7","9,3"
09-2017,Carabanchel,10,"0,2","2,3","8,3"
08-2017,Carabanchel,10,"0,1","1,3","8,1"
07-2017,Carabanchel,10,"2,1","1,2","8,9"
06-2017,Carabanchel,"9,8","-0,8",0,"7,6"
