"fecha","distrito","poblacion"
"06-2015","CIUDAD LINEAL",212898
"06-2015","CENTRO",132086
"06-2015","VICÁLVARO",69830
"06-2015","VILLA DE VALLECAS",101289
"06-2015","TETUÁN",152411
"06-2015","CHAMBERÍ",137561
"06-2015","PUENTE DE VALLECAS",227652
"06-2015","LATINA",234903
"06-2015","VILLAVERDE",141801
"06-2015","BARAJAS",46284
"06-2015","CARABANCHEL",242274
"06-2015","USERA",133973
"06-2015","HORTALEZA",176694
"06-2015","RETIRO",118553
"06-2015","CHAMARTÍN",142329
"06-2015","MADRID",3165138
"07-2015","ARGANZUELA",150945
"07-2015","MORATALAZ",94721
"07-2015","MONCLOA - ARAVACA",116523
"07-2015","FUENCARRAL - EL PARDO",234968
"07-2015","SALAMANCA",142442
"07-2015","SAN BLAS-CANILLEJAS",153331
"07-2015","CIUDAD LINEAL",212263
"07-2015","CENTRO",131349
"07-2015","VICÁLVARO",69710
"07-2015","VILLA DE VALLECAS",101226
"07-2015","TETUÁN",151968
"07-2015","CHAMBERÍ",137097
"07-2015","PUENTE DE VALLECAS",226853
"07-2015","LATINA",234210
"07-2015","VILLAVERDE",141297
"07-2015","BARAJAS",46163
"07-2015","CARABANCHEL",241583
"07-2015","USERA",133596
"07-2015","HORTALEZA",176421
"07-2015","RETIRO",118319
"07-2015","CHAMARTÍN",142027
"07-2015","MADRID",3157012
"08-2015","ARGANZUELA",150911
"08-2015","MORATALAZ",94652
"08-2015","MONCLOA - ARAVACA",116496
"08-2015","FUENCARRAL - EL PARDO",234972
"08-2015","SALAMANCA",142469
"08-2015","SAN BLAS-CANILLEJAS",153307
"08-2015","CIUDAD LINEAL",212215
"08-2015","CENTRO",131525
"08-2015","VICÁLVARO",69735
"08-2015","VILLA DE VALLECAS",101409
"08-2015","TETUÁN",152062
"08-2015","CHAMBERÍ",137014
"08-2015","PUENTE DE VALLECAS",226859
"08-2015","LATINA",234277
"08-2015","VILLAVERDE",141342
"08-2015","BARAJAS",46198
"08-2015","CARABANCHEL",241606
"08-2015","USERA",133794
"08-2015","HORTALEZA",176763
"08-2015","RETIRO",118263
"08-2015","CHAMARTÍN",142110
"08-2015","MADRID",3157979
"09-2015","ARGANZUELA",151414
"09-2015","MORATALAZ",94862
"09-2015","MONCLOA - ARAVACA",116835
"09-2015","FUENCARRAL - EL PARDO",235678
"09-2015","SALAMANCA",143227
"09-2015","SAN BLAS-CANILLEJAS",153813
"09-2015","CIUDAD LINEAL",212908
"09-2015","CENTRO",132428
"09-2015","VICÁLVARO",69979
"09-2015","VILLA DE VALLECAS",101885
"09-2015","TETUÁN",152661
"09-2015","CHAMBERÍ",137665
"09-2015","PUENTE DE VALLECAS",227601
"09-2015","LATINA",234731
"09-2015","VILLAVERDE",141811
"09-2015","BARAJAS",46342
"09-2015","CARABANCHEL",242616
"09-2015","USERA",134181
"09-2015","HORTALEZA",177698
"09-2015","RETIRO",118592
"09-2015","CHAMARTÍN",142592
"09-2015","MADRID",3169519
"10-2015","ARGANZUELA",151816
"10-2015","MORATALAZ",95036
"10-2015","MONCLOA - ARAVACA",117171
"10-2015","FUENCARRAL - EL PARDO",236056
"10-2015","SALAMANCA",143802
"10-2015","SAN BLAS-CANILLEJAS",153958
"10-2015","CIUDAD LINEAL",213224
"10-2015","CENTRO",133187
"10-2015","VICÁLVARO",69994
"10-2015","VILLA DE VALLECAS",102074
"10-2015","TETUÁN",152978
"10-2015","CHAMBERÍ",138036
"10-2015","PUENTE DE VALLECAS",227893
"10-2015","LATINA",234949
"10-2015","VILLAVERDE",141954
"10-2015","BARAJAS",46393
"10-2015","CARABANCHEL",242881
"10-2015","USERA",134469
"10-2015","HORTALEZA",177890
"10-2015","RETIRO",118661
"10-2015","CHAMARTÍN",142878
"10-2015","MADRID",3175300
"11-2015","ARGANZUELA",151757
"11-2015","MORATALAZ",94859
"11-2015","MONCLOA - ARAVACA",117079
"11-2015","FUENCARRAL - EL PARDO",235929
"11-2015","SALAMANCA",143760
"11-2015","SAN BLAS-CANILLEJAS",153784
